ID_Zindi,GT_NO2
ID_2MYNQS,37.212792338680885
ID_P4U5WU,37.212792338680885
ID_U4KWPK,37.212792338680885
ID_QGSNTZ,37.212792338680885
ID_GHSZ6K,37.212792338680885
ID_NKPFFW,37.212792338680885
ID_Z9ICW9,37.212792338680885
ID_H2YFI6,37.212792338680885
ID_RMBWWV,37.212792338680885
ID_8JASJD,37.212792338680885
ID_BVXTI2,37.212792338680885
ID_NDIOUZ,37.212792338680885
ID_AWH9CU,37.212792338680885
ID_FF8GFR,37.212792338680885
ID_SQCZ4B,37.212792338680885
ID_C2YTPV,37.212792338680885
ID_WV7RFQ,37.212792338680885
ID_E3CKAK,37.212792338680885
ID_U7XGZ3,37.212792338680885
ID_X8599L,37.212792338680885
ID_HR1N35,37.212792338680885
ID_O6FGA6,37.212792338680885
ID_Y1FO8G,37.212792338680885
ID_SGDI1C,37.212792338680885
ID_T2H0JJ,37.212792338680885
ID_V7BMNG,37.212792338680885
ID_S5MA32,37.212792338680885
ID_ANJZBA,37.212792338680885
ID_NZT2L7,37.212792338680885
ID_E4N2P4,37.212792338680885
ID_2LPD4W,37.212792338680885
ID_U51CCO,37.212792338680885
ID_7P7MDZ,37.212792338680885
ID_ZOMAXE,37.212792338680885
ID_L3HX41,37.212792338680885
ID_8E6XW7,37.212792338680885
ID_L36A06,37.212792338680885
ID_4UUVO8,37.212792338680885
ID_AI3L14,37.212792338680885
ID_Q3TKJO,37.212792338680885
ID_YSLM9R,37.212792338680885
ID_16OJ5Q,37.212792338680885
ID_BCQDMF,37.212792338680885
ID_HESMLO,37.212792338680885
ID_LVSQ5Z,37.212792338680885
ID_NYSBK9,37.212792338680885
ID_JO0816,37.212792338680885
ID_YU2FDJ,37.212792338680885
ID_WK1H30,37.212792338680885
ID_IMZNQW,37.212792338680885
ID_SV2X3R,37.212792338680885
ID_CUSO3Y,37.212792338680885
ID_3UDDC0,37.212792338680885
ID_W2SSXO,37.212792338680885
ID_WMBNA7,37.212792338680885
ID_8VHGC2,37.212792338680885
ID_EQZ4UO,37.212792338680885
ID_1HERHC,37.212792338680885
ID_CGV391,37.212792338680885
ID_D83DS9,37.212792338680885
ID_QB5VS9,37.212792338680885
ID_W4DSPL,37.212792338680885
ID_9QKTKF,37.212792338680885
ID_HUZUAO,37.212792338680885
ID_PTL4H1,37.212792338680885
ID_WG2SNW,37.212792338680885
ID_Y1YZTR,37.212792338680885
ID_TBFXSQ,37.212792338680885
ID_S53F29,37.212792338680885
ID_TYNKOT,37.212792338680885
ID_N6M5PK,37.212792338680885
ID_R760HZ,37.212792338680885
ID_3PBV8W,37.212792338680885
ID_VIF4K7,37.212792338680885
ID_JDSXF9,37.212792338680885
ID_3VGIYJ,37.212792338680885
ID_SPQFBT,37.212792338680885
ID_02BG4I,37.212792338680885
ID_EJIJRY,37.212792338680885
ID_M0JA5H,37.212792338680885
ID_5AQZBC,37.212792338680885
ID_YMSH34,37.212792338680885
ID_42SUHK,37.212792338680885
ID_JMWTV5,37.212792338680885
ID_719VF9,37.212792338680885
ID_0S1YRT,37.212792338680885
ID_O6PX6V,37.212792338680885
ID_U5WPHP,37.212792338680885
ID_380H7O,37.212792338680885
ID_9J0SDU,37.212792338680885
ID_AJ3XXY,37.212792338680885
ID_P89XNE,37.212792338680885
ID_RZ2XF4,37.212792338680885
ID_UX114U,37.212792338680885
ID_8RV42R,37.212792338680885
ID_5VJL5N,37.212792338680885
ID_9PWE2N,37.212792338680885
ID_XGMDRY,37.212792338680885
ID_VB1LGM,37.212792338680885
ID_1GKYOS,37.212792338680885
ID_WHJZDT,37.212792338680885
ID_4QSMAQ,37.212792338680885
ID_L7B5ZY,37.212792338680885
ID_88WB3J,37.212792338680885
